text_df1,text_df2
'I can't have kids cuz I got in a bicycle accident &amp; split my testicles. it's impossible for me to have kids' MICHAEL YOU ARE THE FATHER,' i can not have kid cup i get in a bicycle accident amp split my textile . It be impossible for me to have kid ' michael you be the father
Accident on I-24 W #NashvilleTraffic. Traffic moving 8m slower than usual. https://t.co/0GHk693EgJ,accident on i-24 w nashvilletraffic . traffic move 8m slow than usual .
Accident center lane blocked in #SantaClara on US-101 NB before Great America Pkwy #BayArea #Traffic http://t.co/pmlOhZuRWR,accident center lane block in santaclara on us-101 nb before great america play bayarea traffic
http://t.co/GKYe6gjTk5 Had a #personalinjury accident this summer? Read our advice &amp; see how a #solicitor can help #OtleyHour,have a personalinjury accident this summer ? read our advice amp see how a solicitor can help otleyhour
#stlouis #caraccidentlawyer Speeding Among Top Causes of Teen Accidents https://t.co/k4zoMOF319 https://t.co/S2kXVM0cBA Car Accident teeÛ_,stlouis caraccidentlawyer speed among top cause of teen accident car accident tee
Reported motor vehicle accident in Curry on Herman Rd near Stephenson involving an overturned vehicle. Please use... http://t.co/YbJezKuRW1,report motor vehicle accident in curry on herman rd near stephens involve an overturned vehicle . please use ...
BigRigRadio Live Accident Awareness,bigrigradio live accident awareness
I-77 Mile Marker 31 South Mooresville  Iredell Vehicle Accident Ramp Closed at 8/6 1:18 PM,i-77 mile marker 31 south mooresville iredell vehicle accident ramp close at 86 118 prime minister
RT @SleepJunkies: Sleeping pills double your risk of a car accident http://t.co/7s9Nm1fiCT,between sleepjunkies sleep pill double your risk of a car accident
'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,'by accident ' they know what be gon happen
Traffic accident N CABRILLO HWY/MAGELLAN AV MIR (08/06/15 11:03:58),traffic accident n castillo hwymagellan av mir 080615 110358
I-77 Mile Marker 31 to 40 South Mooresville  Iredell Vehicle Accident Congestion at 8/6 1:18 PM,i-77 mile marker 31 to 40 south mooresville iredell vehicle accident congestion at 86 118 prime minister
the pastor was not in the scene of the accident......who was the owner of the range rover ?,the pastor be not in the scene of the accident ... who be the owner of the range rover ?
"mom: 'we didn't get home as fast as we wished' 
me: 'why is that?'
mom: 'there was an accident and some truck spilt mayonnaise all over ??????",mom 'we do not get home as fast a we wish ' me 'why be that ? ' mom 'there be an accident and some truck split mayonnaise all over ?
I was in a horrible car accident this past Sunday. I'm finally able to get around. Thank you GOD??,i be in a horrible car accident this past sunday . I be finally able to get around . thank you god ?
Can wait to see how pissed Donnie is when I tell him I was in ANOTHER accident??,can wait to see how pissed donne be when i tell him i be in another accident ?
#TruckCrash Overturns On #FortWorth Interstate http://t.co/Rs22LJ4qFp Click here if you've been in a crash&gt;http://t.co/Ld0unIYw4k,truckcrash overturn on fortworth interstate click here if you have be in a crash
Accident in #Ashville on US 23 SB before SR 752 #traffic http://t.co/hylMo0WgFI,accident in nashville on u 23 sb before sr 752 traffic
Carolina accident: Motorcyclist Dies in I-540 Crash With Car That Crossed Median: A motorcycle rider traveling... http://t.co/p18lzRlmy6,carolina accident motorcycles dy in i-540 crash with car that cross median a motorcycle rider travel ...
FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;NHS;999 PINER RD/HORNDALE DR,for your information cadfyi accident property damages999 liner rdhorndale dr
RT nAAYf: First accident in years. Turning onto Chandanee Magu from near MMA. Taxi rammed into me while I was halfway turned. Everyone confÛ_,between navy first accident in year . turn onto chandanee mag from near mma . taxi ram into me while i be halfway turn . everyone conf
Accident left lane blocked in #Manchester on Rt 293 NB before Eddy Rd stop and go traffic back to NH-3A delay of 4 mins #traffic,accident leave lane block in manchester on between 293 nb before eddy rd stop and go traffic back to nh-3a delay of 4 min traffic
;ACCIDENT PROPERTY DAMAGE; PINER RD/HORNDALE DR,accident property damage liner rdhorndale dr
???? it was an accident http://t.co/Oia5fxi4gM,? it be an accident
FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;WPD;1600 S 17TH ST,for your information cadfyi accident property damaged1600 s 17th st
8/6/2015@2:09 PM: TRAFFIC ACCIDENT NO INJURY at 2781 WILLIS FOREMAN RD http://t.co/VCkIT6EDEv,862015209 pm traffic accident no injury at 2781 willis foreman rd
Aashiqui Actress Anu Aggarwal On Her Near-Fatal Accident http://t.co/6Otfp31LqW,aashiqui actress anu aggarwal on her near-fatal accident
Suffield Alberta Accident https://t.co/bPTmlF4P10,outfield alberta accident
9 Mile backup on I-77 South...accident blocking the Right 2 Lanes at Exit 31 Langtree Rd...consider NC 115 or NC 150 to NC 16 as alternate,9 mile backup on i-77 south ... accident block the right 2 lane at exit 31 langtree rd ... consider nc 115 or nc 150 to nc 16 a alternate
Has an accident changed your life? We will help you determine options that can financially support life care plans and on-going treatment.,have an accident change your life ? we will help you determine option that can financially support life care plan and on-going treatment .
#BREAKING: there was a deadly motorcycle car accident that happened to #Hagerstown today. I'll have more details at 5 @Your4State. #WHAG,break there be a deadly motorcycle car accident that happen to hagerstown today . I will have more detail at 5 your4state . what
@flowri were you marinading it or was it an accident?,floor be you marine it or be it an accident ?
only had a car for not even a week and got in a fucking car accident .. Mfs can't fucking drive .,only have a car for not even a week and get in a fucking car accident ... motherfucker can not fuck drive .
.@NorwayMFA #Bahrain police had previously died in a road accident they were not killed by explosion https://t.co/gFJfgTodad,.norwaymfa bahrain police have previously die in a road accident they be not kill by explosion
I still have not heard Church Leaders of Kenya coming forward to comment on the accident issue and disciplinary measures#ArrestPastorNganga,i still have not hear church leader of kenya come forward to comment on the accident issue and disciplinary measuresarrestpastornganga
@afterShock_DeLo scuf ps live and the game... cya,aftershockdelo scu postscript live and the game ... see you
"'The man who can drive himself further once the effort gets painful is the man who will win.' 
Roger Bannister",'the man who can drive himself further once the effort get painful be the man who will win . ' roger barrister
320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/yNXnvVKCDA | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/weQPesENku,320 ir icemoon aftershock djicemoon dubstep trapmusic dnb edm dance ice
'There is no victory at bargain basement prices.' Dwight David Eisenhower,'there be no victory at bargain basement price . ' right david eisenhower
320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/vAM5POdGyw | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/zEVakJaPcz,320 ir icemoon aftershock djicemoon dubstep trapmusic dnb edm dance ice
'Nobody remembers who came in second.' Charles Schulz,'nobody remembers who come in second . ' charles chul
@afterShock_DeLo im speaking from someone that is using a scuf on xb1 most of them people will end up getting on for ps also.,aftershockdelo im speak from someone that be use a scu on xb1 most of them people will end up get on for postscript also .
'The harder the conflict the more glorious the triumph.' Thomas Paine,'the hard the conflict the more glorious the triumph . ' thomas pain
